index,Title,JobDescription,JobRequirment
1757,Cluster Coordinator,"The main focus of Cluster Coordinator should be coordinating cluster development activities, supporting strategy and action plan development, and supporting theory implementation with Cluster Specialists in five key clusters (Tourism,  IT, Agroprocessing, Gems and Jewellery, Precision Engineering).","- Lead and facilitate roundtables, workshops and other cluster deliberations; - Provide strategic guidance and inputs to cluster deliberations and decision-making; - Facilitate cluster linkages; - Help cluster participants to assess their strategies and develop actions to improve competitiveness and performance, including analyzing value chains, sub sectors, and markets to identify opportunities for improving sales and productivity by (1) identifying demands for products and services, and (2) identifying potential interventions in the value chain which will improve competitiveness; - Assist clusters to determine the attractiveness of potential products and markets, looking both at international and domestic markets as appropriate; - Link the firms in selected firm clusters to other firms and markets and simultaneously improve skill in marketing; - Assist cluster participants to exploit the synergies between different specified cluster firms and the overall cluster develop strategies; - Supervise and coordinate the activities of the individual cluster specialists."
1759,Sales Agent,Company is looking for a stuff of sales agents. Before starting the work two-month training will be organized for chosen candidates.,- Communications with present and potential company clients; - Sale of insurance products; - Concluding insurance contracts from the company name; - Carrying out of concluded contract till its expiry and further renewal; - Claim reimbursement decision making.
1760,Receptionist/ Administrative Assistant,The Receptionist/ Administrative Assistant will help in program and office administration at the computer center for musicians.,"- Help in computer center documents' administration;  - Teach basic computer knowledge, as a whole - help musicians in their first steps in new technologies; - Perform other related duties."
1761,Chief Accountant,We are seeking a Chief Accountant to set up and/or supervise Accounts Departments of local and foreign companies operating in Armenia within different service and trade industries (currently four companies).,"- Supervise and control Accounts Departments; - Prepare reports (monthly, quarterly and annual) in compliance with the local laws and submit them to the tax authorities; - Prepare reports (monthly, quarterly, and annual) as required by the foreign holding companies of our clients; - Check and submit for authorization all financial documentation, including incoming and outgoing payments;  - Process financial transactions;  - Perform other related duties as assigned."
1763,Staff Attorney,"The American Bar Association, Central European and Eurasian Law Initiative Criminal Law Program (ABA/CEELI) is seeking a Staff Attorney who will be responsible for providing legal assistance and advice to ABA/CEELI's liaisons (lawyers).","- Provide notice and advice on the Armenian legal system, laws and regulations, and court procedures; - Research and write legal memoranda covering relevant points of Armenian laws, procedures and systems; - Research and write legal memoranda on international treaties, new or pending legislation, issues and other events; - Monitor legislative and regulatory activity as it impacts rule of law, human rights, and the Armenian legal system and bring important matters to the attention of liaisons; - Provide advice on compliance with Armenian law; - Attend meetings with ABA/CEELI liaisons; - Represent ABA/CEELI at meetings, seminars, etc.; - Provide oral interpretation at meetings; - Prepare written translations; - Assist with maintenance of the office legal library; - Attend and report on trials and other legal proceedings; - Organize seminars on legal topics, including but not limited to, preparation of agenda and materials, logistics and seminar presentations; - Manage projects; - Such other duties which are customarily performed by an attorney."
1764,Director of  Finance,"The Director of Finance functions as the property's Financial Business Leader. As a member of the Executive Committee the incumbent champions, develops and implements hotel-wide strategies that deliver products and services to meet or exceed the needs and expectations of guests, associates owners, and Marriott International.","- Create and execute a business plan that is aligned with the hotel's business strategy with a primary focus on the execution of financial and accounting activities and the delivery of financial results; - Lead and facilitate the achievement of property annual goals and targets to ensure profitability and revenue growth. Actively participate in cross- functional teams to drive overall business performance, e.g. revenue management, sales and marketing tools; - Deliver against balanced scorecard and discipline initiatives to build brand equity and customer allegiance; - Manage working capital, cash flow, capital, overall expenses and daily accounting activities to obtain highest value. Identify risk exposure and effectively manage financial and business risk to create and preserve value, ensuring effective systems of controls are in place."
1767,Start-Up Consultant,The assigned start-up manager will closely cooperate with EIF staff and provide certain services to selected IT start-up companies on all stages of their business development.,"Start-up manager will assist the management of the start-ups in the following areas:  - Provide management consultancy to IT companies including but not limited to marketing, management, human resource management, and finance; - Development of business plans, due diligence, scenario planning, and financial modeling; - Work with management of start-up companies to provide assistance in operational planning and execution of their business plan, including: - marketing plan realization - sales strategy execution - dealing with potential customers - financial planning and controlling - networking activities; - Ad-hoc advice on various project management issues; - Review and develop project improvement processes ensuring the smooth day-to day running of the project with preparation of monthly progress reports and reviews."
1768,IT Project Management Consultant,"The Consultant will work with EIF, local software development companies and newly created technology companies to assist in IT-related issues, such as analysis of business processes, requirements gathering and functional analysis, software project management, and technology marketing in local and foreign markets.","The Consultants responsibilities include but are not limited to the following:  - Review, analyze and evaluate business systems, processes and user needs; - Perform analysis of functional and technical requirements; - Conduct interviews, focus groups and other data-gathering methods; - Analyze and scope projects, defining detailed project plans and schedules to meet requirements and scope; - Research of different industries for utilization of IT solutions in local and foreign markets; - Map out business processes to ensure optimal IT solutions; - Maintain a high-level working knowledge of analysis and programming techniques, including, but not limited to architecture, connectivity, programming languages, standards, methods and tools; - Implement process improvement projects at local IT companies; - Coach team members on sound software engineering practices and advise on technical issues."
1769,Accountant,We are seeking an Accountant for day to day accounting work.,"- Handle cash operations, including cash withdrawal, cash payments and office petty cash; - Accounting/bookkeeping using account software; - Prepare of bank wire transfers; - Make journal entries and understand the general ledges."
1771,Medical Doctor,The Doctor will represent the Policlinic of Vardenis and MSF in the rural health ambulatory (RHA) and report to the policlinic director hierarchically and to MSF functionally.,"- Provide high quality standard of clinical care in the RHA and participate in the provision of clinical services; - Attend to emergency cases and take appropriate action. The doctor may attend to emergency cases in the patients home if it is not possible to bring the patient to the RHA; - Act as a clinical team leader, guide and supervisor in the RHA; - Participate actively in the Preventive and Promotive activities in the RHA and in the community; - Form village health committee in cooperation with village leader and hold meeting once in two months for mutual beneficial actions; - Support and participate in the continuing training plans, facilitate participation of the ambulatory staff in the training programs, seminars, workshops organized in the region and in other training places in the country; - Ensure flow of information through regular monthly reporting and participate in medical meetings, team and supervisory meetings."
1772,Operator - Cashier,We are seeking an Operator - Cashier for the representation of a Russian trading company.,"- Register orders into the computer; - Receive money based on provided order forms; - Make calculattions and extract accrued discounts during order payments; - Register consultants, assist in training of new consultants and introduce them the information provided by company administration; - Prepare daily reports."
1774,Database Programmer,The database programmer will work with a team of national and international experts in a program aimed at building water recourses databases for the State Water Cadastre Information System (SWCIF).,- Assist in designing Access-based databases; - Design and build database user interface and data entry forms; - Design and construct database reports; - Design and construct data import and export utilities; - Work with government agencies in developing the SWCIF.
1776,River Basin Planner/ IWRM Specialist,This specialist will work with a team of national and foreign experts in the development of integrated water resources management plans for river basins and the capacity building for basin development and management.,"- Assist in developing planning programs; - Prepare inventories of data and information related to water resources planning; - Prepare criteria for planning purposes; - Assess resources, and needs; - Assist in formulation of plans; - Assist in the evaluation of plans; - Work with public participation bodies; - Work with government agencies in water sector; - Participate in training programs."
1778,Water Resources Monitoring Specialist,The water resources monitoring specialist will work with a team of national and international experts in a program aimed at revitalizing water resources monitoring in Armenia.,- Review existing surface water monitoring programs; - Develop criteria for renovation of existing monitoring systems; - Propose modifications to current monitoring systems; - Review proposals for modifications to existing monitoring networks; - Analyze existing data; - Participate in design of new monitoring systems; - Meet and discuss programs with government officials involved in water resources monitoring.
1779,Groundwater Monitoring Specialist,The Groundwater Monitoring Specialist will work with a team of national and international experts in a program aimed at re-establishment of groundwater monitoring in Armenia.,- Make inventory of available groundwater data and maps;  - Locate the original milestone observation wells; - Prepare a vision and near term needs for the re-establishment of groundwater monitoring in Armenia; - Build groundwater spatial and tabular database in cooperation with the ongoing program that develops the State Water Cadastre Information System; - Map the main groundwater abstractions and spring captations for drinking water supply; - Estimate and map the recharge areas of the main drinking water sources;  - Design groundwater monitoring networks and programs; - Prepare technical specifications for observation well construction; - Provide training in support of the above activities.
1782,Software Developer,AccuSoft-AM LLC is looking for two motivated developers for expanding current development team.,"Development of VisiQuest Software System, multiplatform visual framework for advanced image/data manipulating."
1783,Office Manager,"The Office Manager ensures that administrative and accounts management systems are conducted according to all laws and regulations of Armenia, and MSH and USAID regulations, standard operating procedures and good business practices. In addition, he or she provides secretarial, administrative and logistics support management to the Senior Program Associate and to the technical assistance team for the successful implementation of RPM Plus activities in Armenia. The Office Manager facilitates good communication between the Armenia field office and RPM Plus and MSH offices in the United States.","- Manage cash flow and estimate upcoming cash needs; - Maintain thorough documentation of all field financial transactions; - Oversee local procurement and execute all approved payments; - Maintain inventories and controls over project office fixed assets, such as furnishings, and computer equipment; - Maintain an effective office country filing system; - Provide administrative support to country staff and consultants including translating and formatting documents, and presentations."
1785,Field Social Worker,"FAR seeks a motivated, well organized, hard working, highly professional candidate for the position of  Field Social Worker to work in its Childrens Reception and Orientation Center.","- Develop and describe the overall key stages to set up a foster service in Armenia; - Develop a network within the child protection system to identify children in difficult situations; - Develop a network with decision makers and service providers in project areas for child protection; - Collaborate with program consultants to develop documentation packages for fostering; - Collaborate with the foster program team to organize trainings for potential foster parents; - Develop assessment tools for children as well as  biological and foster families; - Work with the mass media to launch in a public awareness campaign; - Develop a methodology of assessment, registration,  final election, supervision of foster families."
1787,Senior Program Associate,"The Senior Program Associate assists in the development, implementation, and monitoring of RPM Plus pharmaceutical management activities in Armenia.  He or she provides direct technical assistance to improve pharmaceutical management practices both at the national and at the marz level; coordinates data collection and analysis for RPM Plus studies in Armenia; plans, organizes and facilitates RPM Plus training courses. The Senior Program Associate coordinates with USAID, and international and national partners working in Armenia.","I. Technical Assistance: Provide technical assistance in four general technical areas that are described below in paragraphs I-A through I-D. The work will typically involve collaboration with other CPM/RPM Plus technical staff, based in the US or elsewhere. Specific technical responsibilities may include work in any of the following areas: A. Policy Options Analysis and Drug Finance - Work with CPM/RPM Plus staff based in Arlington, USA, to develop structured survey instruments to guide pharmaceutical sector assessments in public and private sectors; - Plan, organize and conduct pharmaceutical sector assessments and conduct policy options analyses based on the assessment findings. Develop detailed reports that define problems and gaps in services and recommend steps to remedy deficiencies; - Assist the MOH and local counterparts in developing or revising local or national drug policies and in developing appropriate pharmaceutical service delivery models for the local environment. B. Selection & Formulary Management - Provide technical assistance helping local counterparts to implement effective systems for drug evaluation and to develop appropriate formularies and essential drug lists; - Assist local counterparts in developing and implementing Drug and Therapeutics Committees; - Assist local counterparts in developing  appropriate monitoring systems to track therapeutic effectiveness and adverse reactions for drugs used in the health system. C. Supply Chain Management - Based on policy options analysis, assist counterparts in identifying the best options for organizing their supply systems for maximum effectiveness and efficiency. Provide technical assistance to implement and sustain effective supply chains for drugs, contraceptives, vaccines and related commodities.  D. Rational Use/Behavior Change - In collaboration with CPM/RPM Plus staff based in Arlington, USA, design and/or implement studies to determine usage patterns and the underlying causes of irrational use for medicines and related commodities in public or private sector; - Assist clients in developing, implementing and evaluating the impact of drug use evaluation programs; - In collaboration with CPM/RPM Plus staff based in Arlington, USA, design and/or implement programs to promote rational use of drugs, vaccines and related commodities. II. Assistance in country program management: Assist in the development, implementation and monitoring of the RPM Plus program in the country. The program may involve work in any or all of the above-listed technical areas I-A through I-D. Responsibilities include field budget management and supervision of locally hired staff. Supervisory responsibilities include but are not limited to: meeting with supervisees on a regular basis to discuss issues, track work progress, provide guidance and support, and ensure consistent quality of work performed; conducting Performance Plan and Reviews; communicating, implementing and assuring adherence to MSH policies, guidelines and values; developing staff skills and knowledge; approving timesheets; and facilitating supervisee success whenever possible.   III. Drug management training courses: As necessary, plan, organize and facilitate training courses covering technical areas described in I-A through I-D above. In cooperation with the CPM Training Coordinator, adapt or develop training materials relevant to the targeted training group. IV. Tools/manuals: As necessary, collaborate with CPM Tools/Publications staff and/or RPM Plus staff based in Arlington to develop, test and deploy electronic and hard copy tools and manuals to support activities in technical areas described above. V. CPM Administration and Development: In coordination with other CPM staff, maintain liaison with international organizations, universities, and donor agencies in Armenia."
1788,Senior Electronic/ Software Engineer,"The primary objective of this position is the exploitation, testing and controlling of computerized equipment of stone processing, entering dates and software.","- Provide equipments primary testing process;   - Identify, report and fix defects appearing during exploitation; - Make records in AutoCAD, Archie Cad, Turbo Cad systems and enter dates and software into command/control panel; - Supervise and train staff."
1789,Field Team Leader,"FAR seeks a motivated, well organized, hard working, highly professional candidate for the position of  Field Team Leader to work for its Childrens Reception and Orientation Center.","- Develop and implement, describe the overall key stages to set up a foster service in Armenia; - Develop and supervise a network within the child protection system to identify children in difficult situations; - Develop and follow network with decision makers and service providers in project areas for child protection; - Coordinate the collaboration within program team to develop documentation packages needed for fostering; - Coordinate foster program team to organize trainings for potential foster parents; - Coordinate work with the mass media to launch in a  public awareness campaign."
1795,Chief Accountant,"The Chief Accountant provides administrative and financial/accounting support services to the project. S/he will be responsible for all financial transactions, including all income and expenditure verification, processing and reporting. The Chief Accountant will also be the projects primary liaison with the Republic of Armenia State Income Service and Ministry of Labor and Social Affairs. The Chief Accountant reports to the Deputy Chief of Party and the Chief of Party. The Chief Accountant is one of four Class A signatories on project bank accounts.","The Chief Accountant is an integral member of the project management team responsible for undertaking the following tasks and responsibilities in a professional manner: - Conduct all monthly project financial reporting for home office use in issuing public vouchers; - Prepare personnel payroll and associated reports to local authorities; - Receive and process all financial requests; - Process all contractual financial obligations, including payables and receivables; - Responsible for custom clearance for procured goods; - Serve as the primary liaison between project management and all financial institutions (i.e. HSBC Bank, Ministry of Finance, State Income Service and Ministry of Labor and Social Affairs etc.); - Conduct internal quarterly audits on all project financial and contractual matters. Provide written reports to Deputy Chief of Party; - Prepare all necessary reports for USAID. - Provide additional administrative support to office staff, as needed; - Maintain the register for the projects employment flow; - Keep all financial ledgers (Cash accounts Ledgers, Authorization letters register, Cash Book); - Assist in supervising office security; - Facilitate opening accounts in necessary government agencies for all employees; - Prepare annual reports on employees income and social payments; - Assist in or conduct program training as appropriate."
1796,Assistant for the AWP (Annual Work Plan),"The AWP Assistant, under the direct supervision of the Project Coordinators and Team Leaders of the AWP, will be responsible for supporting the AWP implementation, financial, administrative and personnel management.","- Carry out and implement specific project activities, upon agreement with the Project Coordinators and Team Leaders; - Provide research assistance to Project Coordinators/Team Leaders, including developing and maintaining relevant databases, preparing briefs, etc; - Support the liaising with key stakeholders from Government, Donor community and Civil Society; - Actively involved in the monitoring of AWP activities; - Organize meetings, seminars, trainings and workshops within the framework of the AWP; - Prepare progress reports at the quarterly basis as well as other reports requested by the supervisors; - Prepare requests and supporting documents for payments, procurement and recruitment; - Maintain filing of the AWP related financial an other documents according to the requirements of the internal and external audit; - Carry out routine processing of AWP papers, documents and official correspondence, draft letters; - Conduct bidding for the selection of companies and local experts; - Procure office supplies and equipment in accordance with the AWP and arrange the inventory records; - Undertake any other duties that are assigned to him/her by the UNDP Resident Representative within the framework of the present contact."
1797,PHP Programmer,WebSoft Technologies is currently seeking for a committed person to fill the vacancy of PHP Programmer.,- Web-applications's programming; - Development of MySQL databases; - HTML/CSS/JavScript coding of web pages.
1798,Sales Director,B&Z Furniture seeks an experienced sales person to manage in-store sales and attract additional clientele through a door-to-door campaign.,- Greet customers and assist them in the selection of appropriate furniture; - Manage sales orders from individual and corporate clients;  - Monitor incoming and outgoing orders to ensure quality control and timely delivery; - Monitor and update furniture stock and accurately deliver orders to factory; - Submit monthly reports on in store sales and door-to-door sales; - Consistently contact customers with order updates; - Follow-up with previous clients to ensure complete customer satisfaction; - Perform other duties as assigned by Director.
1801,Receptionist,Golden Palace Hotel is looking for a Receptionist to work in night hours.,- Check in and check out the guests; - Receive the total charges for the occupied rooms; - Answer the phone calls; - Meet the guests with smile.
1803,.NET Solution Developer/ Project Manager,Altysoft is looking for an initiative driven and communicative .NET Solution Developer/ Project Manager.,"- Understand, define and analyse the needs and funtionalities of the software to be developped; - Dispatch the programming work to the available ressources; - Manage the project and the team; - Keep up with deadlines and quality; - Activily report to the IT manager."
1804,Medical Doctor,The Doctor will represent the Policlinic of Vardenis and MSF in the rural health ambulatory (RHA) and report to the policlinic director hierarchically and to MSF functionally.,"- Provide high quality standard of clinical care in the RHA and participate in the provision of clinical services; - Attend to emergency cases and take appropriate action. The doctor may attend to emergency cases in the patients home if it is not possible to bring the patient to the RHA; - Act as a clinical team leader, guide and supervisor in the RHA; - Participate actively in the Preventive and Promotive activities in the RHA and in the community; - Form village health committee in cooperation with village leader and hold meeting once in two months for mutual beneficial actions; - Support and participate in the continuing training plans, facilitate participation of the ambulatory staff in the training programs, seminars, workshops organized in the region and in other training places in the country; - Ensure flow of information through regular monthly reporting and participate in medical meetings, team and supervisory meetings."
1805,Commercial Director,"Commercial Director performs duties and activities to conduct business activities which are emphasized in but not limited to International and Domestic Trade and Purchase, i.e. commercialization of the production, marketing, product planning and promotion, procurement. Commercial Director should be able to coordinate the following aspects of activities: purchases, sales development, marketing and logistics. The position will be viewed as the primary point person accountable for ensuring that necessary action plans and deliverables are completed in a timely, cost effective, operationally effective manner.","The person will be responsible for the effective coordination, approval and implementation of appropriate action plans, as well as for the following: - Development and follow-up of Commercial Strategies, including sales management and product advertising and promotion; - Development of new markets and customers; - Development of new products, their planning and promotion; - Procurement of raw materials, spares and other consumables required for the smooth and continuous operation of the plant; - Development and management of Annual Marketing Plans, Shipment Plans and Schedules; - Establishment and management of sale and purchase, import and export contracts; - Preparation and management of Overall Sales and Expense Budget; - Streamlining of Logistics Groups activities; - The overall management of the Commercial Department and compliance with company policies and procedures, maintaining the privacy and confidentiality of information, protecting the assets of the company, acting with ethics and integrity; - Monthly and annual reporting on overall business activity."
1806,Press Secretary,We are seeking a Press Secretary for a concern.,"- Organize press conferences; - Dialogue with press and draw up press releases; - Write  articles, etc."
1809,Business Analyst with Health care Domain,The Business Analyst will act as a communication liaison between Provider Contracting and the downstream operational departments.,"- Facilitate the management of the implementation process through all operational departments to ensure contracts are implemented in a coordinated, timely and accurate manner; - Audit, validate and track contracts throughout the contract implementation process; - Identify opportunities to streamline and improve the quality of the contract implementation process; - Additionally, he/she will be involved in the analysis and reporting of accurate contract data to support HPHC strategic HPHC network initiatives."
1811,Negotiator,The incumbent will negociate discounts for local companies or organisations of all fields. The jobholder will work in Yerevan with possibility to travel abroad.,"Search, select, contact, negotiate and follow up the agreements with contacted companies and service providers signed as partners."
1812,Small and Medium Business Programs Developer,"Within the framework of ""Reintegration of Armenian families having illegal status in France and returning to Armenia"" program wee are looking for qualified persons with wide practical experience for developing and implementing small and medium business programs.","- Undertake functions under the instructions of the Program-in-chief in France, as well as FADF Director of projects; - Closely and productively cooperate with other staff members of FADF; - Study the possibilites of creating micro enterprises; - Assist program beneficiaries in developing and initiating small business programs; - Follow the implementation of small business programs; - Due to the preliminary made sample to prepare personal data of each beneficiary connected with the business plan; - If necessary, participate in other field activites anticipated by the program; - Prepare current and final reports of the activities undertaken."
1815,Small and Medium Business Programs Developer,We are looking for qualified persons with wide practical experience for developing and implementing small and medium business programs.,"- Undertake functions under the instructions of the Program-in-chief in France, as well as FADF Director of projects; - Closely and productively cooperate with other staff members of FADF; - Study the possibilites of creating micro enterprises; - Assist program beneficiaries in developing and initiating small business programs; - Follow the implementation of small business programs; - Due to the preliminary made sample to prepare personal data of each beneficiary connected with the business plan; - If necessary, participate in other field activites anticipated by the program; - Prepare current and final reports of the activities undertaken."
1816,Resource Center Intern,The CMI Resource center Intern combines administrative experience with working in the CMI library and databases.,"Resource center interns learn to work with newspaper archives, operate electronic catalogues, receive library visitors, update electronic databases and engage in other activities as required. Administrative tasks shall include written translation, oral interpretation, taking minutes, handling surface mail etc."
1817,Chief Accountant,"We are seeking a chief accountant for ""Kecharis"" hotel in Tsakhkadzor, on Orbeli street.","- Supervise and control account departments; - Prepare reports (monthly, quarterly and annual) in compliance with the local laws and submit them for the tax authorities; - Check and submit all financial documentation, including incoming and outgoing payments for the authorization; - Process financial transactions;  - Perform other related duties as assigned."
1823,Database Architect/ Developer,The ideal candidate leverages his/her knowledge in database design and implementation to develop web-based application components for interfacing with RDBMSs.,- Design and implement RDBMS schemas and data access components; - Develop strategies for deployment of high performance RDBMS operations; - Design and code software components for web applications; - Develop high performance and scalable algorithms; - Interact with technical managers to facilitate the smooth flow of all technical information; - Interact and train QA Engineers in all technical aspects of the projects.
1824,Accountant,We are seeking a motivated person for our Accounting Department.,"- Daily transactions, accounting entries; - Preparation of reports to Chief Accountant; - Monthly reports to Chief Accountant; - Reporting to the appropriate regulatory authorities (Central Bank, Securities Commission, State Tax Service, Social Security Fund, other entities as required); - Managerial accounting; - Budgeting; - Tax portfolio development; - Financial forecasts; - Other accounting related duties as assigned."
1826,Senior Financial Officer/ Senior Accountant,"The duties of Senior Financial Officer will be related to financial and management accounting and reporting, budget preparation and control, financial analyses, etc. It is a lead finance position, requiring from a candidate good knowledge, high responsibility and creativity.","The responsibilities include but are not limited to: - Helping in design and establishment, and further development of internal financial and managerial reporting systems and financial controls; preparation of reports; - Budget/plan preparation and related control, variance analysis of actual results to forecasts and budgets; - Business plan development, feasibility analysis for new programs (if any); - Coordination of works with financial institutions (banks, etc.)."
1827,Grants Manager,"Grants manager is responsible for developing and operating a comprehensive system of identifying potential grantees, and administering and managing grants.","Responsibilities include, but are not limited to: - Developing grants solicitation, awarding, contracting and distribution procedures; - Managing grant documentation; - Monitoring grant activities;  - Preparing consolidated financial and analytical reports on grants; - Assessing grantees financial and grants management capacity;  - Training and consulting grantee partners on improving their grants management capabilities; - Assisting grantees in implementing financial grants management systems; - Periodically conducting audits of grantee accounting, financial management and grants management systems. General: - As part of a team, build an NGO service organization with the goal of developing and strengthening civil society organizations;  - Identify and develop service products in various areas of substantive expertise, including training modules, consulting packages, and other technical assistance services/products;  - Provide services in the specific area of expertise, e.g. grants administration and management, trainings and consultations on contractual basis;  - Work effectively in a team environment to build clientele by providing quality services and successfully competing in the NGO technical assistance service market."
1828,Program Assistant,"Program Assistant is responsible for arranging appointments and drafting routine correspondence for specialists, maintaining proper electronic and paper filing systems, performing other office-related duties as required.","Responsibilities include, but are not limited to: - Providing administrative support to overall implementation of grantee selection, grant awarding, administration, and management processes; - Assisting the establishment and maintenance of monitoring and evaluation systems for following up project implementation; - Supporting performance monitoring plan (PMP) data collection and processing. General: - As part of a team, build an NGO service organization with the goal of developing and strengthening civil society organizations;  - Identify and develop service products in various areas of substantive expertise, including training modules, consulting packages, and other technical assistance services/products; - Provide services in the specific area of expertise, e.g. grant administration and management, trainings and consultations on a contractual basis;  - Work effectively in a team environment to build clientele by providing quality services and successfully competing in the NGO technical assistance service market."
1829,Advocacy Specialist,"Advocacy Specialist is responsible for organizing the provision, coordination and implementation of advocacy related services to POs, donors and other clients. The range of services may include but is not limited to designing, organizing and implementing advocacy trainings, providing advocacy consultations to POs.","Responsibilities include, but are not limited to: - Conducting assessment, and action planning for development of advocacy skills and capacities; monitoring, evaluating and consulting grantees on advocacy strategy development; - Advising grantees/clients on advocacy related research, and analyses, designing and delivering trainings in advocacy; - Assisting POs in implementing local initiative advocacy grants and in efficient collaboration with mass media and local self government bodies. General: - As part of a team, build an NGO service organization with the goal of developing and strengthening civil society organizations;  - Identify and develop service products in various areas of substantive expertise, including training modules, consulting packages, and other technical assistance services/products; - Provide services in the specific area of expertise, e.g. grant administration and management, trainings and consultations on a contractual basis;  - Work effectively in a team environment to build clientele by providing quality services and successfully competing in the NGO technical assistance service market."
1830,Organizational Development & Training Specialist,"Organizational Development & Training Specialist is responsible for designing, organizing and providing training/consulting support to team members, as well as to client public organizations in achieving their mission and objectives. The OD & Training Specialist designs, coordinates and facilitates the institutional capacity assessment and further development.","Responsibilities include, but are not limited to: - Assisting the development of an action plan for addressing the needs of the organization assessed in a participatory process; - Providing technical assistance to client organizations in implementation of the action plan in institutional development (identify resources, design and deliver training modules, provide consultations, etc.); - Coordinating and providing organizational development services to client POs. General: - As part of a team, build an NGO service organization with the goal of developing and strengthening civil society organizations;  - Identify and develop service products in various areas of substantive expertise, including training modules, consulting packages, and other technical assistance services/products; - Provide services in the specific area of expertise, e.g. grant administration and management, trainings and consultations on a contractual basis;  - Work effectively in a team environment to build clientele by providing quality services and successfully competing in the NGO technical assistance service market."
1831,Monitoring and Evaluation Specialist,Monitoring and Evaluation Specialist is responsible for developing and operating efficient systems of monitoring and evaluation in grants programs implementation and service provision.,"Responsibilities include, but are not limited to: - Developing and performing an annual performance monitoring plan on overall activities of the organization and that of the client organizations; - Implementing regular data collection and analyses regarding the quality, quantity, frequency, impact of provided services; presenting conclusions and lessons learned, suggesting relevant actions for strategy revisions; - Providing individual consultation to grantees for developing logical framework, internal monitoring and/or evaluation systems of the program (report formats, work plan summary, performance monitoring plan, etc.); - Performing and reporting regular/final program monitoring and data analyses for following up grant program implementation and for assessing grantee performance; - By means of specialized training and consultation assisting the M&E capacity development of clients/grantees. Assuring that M&E procedures are integrated in overall systems of the client organization and correspond to client needs;  - Conducting/facilitating institutional and advocacy capacity assessments and follow ups. General: - As part of a team, build an NGO service organization with the goal of developing and strengthening civil society organizations;  - Identify and develop service products in various areas of substantive expertise, including training modules, consulting packages, and other technical assistance services/products; - Provide services in the specific area of expertise, e.g. grant administration and management, trainings and consultations on a contractual basis; - Work effectively in a team environment to build clientele by providing quality services and successfully competing in the NGO technical assistance service market."
1832,Furniture Designer,"B&Z Furniture seeks an experienced, creative furniture designer to assist in new models design, day-to-day design, and interior design.",- Work with customers and engineers to create furniture designs;  - Monitor and update database of all designs; - Prepare and maintain photo archives of all in-store and sold furniture; - Design print advertisements; - Monitor and update in-store catalog; - Perform other duties as assigned by Director.
1833,Water/ Wastewater Works Monitoring Team Leader,"Municipal Development Project Management Unit, which will implement Yerevan Water and Wastewater Project in the framework of the Credit Agreement No 4038-AM, declares a contest for Water/Wastewater Works Monitoring Team Leader opening.","- Supervise the environmental impact assessment organization; - Supervise the performance of the standards by the Lessee outlined in Yerevan Water Systems Lease Contract; - Propose modifications to the water systems operations and maintenance by water company; - Supervise the submission of the reports by the Lessee according to the procedure and within the period outlined in the Project Implementation Plan and Lease Contract; - Assess the system condition; - Assess the efficiency of the investments, etc.; - Supervise the work done by the water and wastewater experts."
1836,Auditor of Financial Audit Unit,"The Auditor will be responsible for getting reasonable assurance, that information is reliable, timely, complete and fair, evaluation of CBA financial activity.","- CBA financial activity risk assessment; - Evaluation of CBA assets safeguards; - Auditing CBA financial reports, as well as the department of CBA."
1837,Customer Relations Manager/ Representative in Armenia,We are seeking a Customer Relations Manager/ Representative in Armenia for a European company making technical equipment for the food-processing industry.,"- Evaluation of prospects across the targeted industries; - Building intense customer relations with existing and prospective customers; - Initiate and negotiate equipment and spice sales in the area; - Creation and presentation of quotations; - Closing contracts for equipment sales in the area; - Coordination of the entire sales process; - Participation on local exhibitions and tradeshows; - Market evaluation and documentation; - Analysing the market, its trends and requirements."
1838,Auditor of Information Technologies Audit Unit,"The incumbent is responsible for upraising the risks available in the automated information systems and the related areas, including the interconnected non-automated procedures in the CB RA, making proposals towards their reduction, assessing the adequacy, effectiveness and relevant use of the security measures implemented.","- IT risk assessments; - Identify critical IT systems, gather preliminary data for IT control assessments and determine significant enhancements to IT systems under audit; - Participation in development of audit programs and audit reports. Ensure completion of IT audit program requirements; - Prepare and submit status reports to the Head of Division as requested; - Maintain required communications for other audit divisions concerning IT audit involvement; - Participate as auditor-in-charge for Information Technology (IT) audit engagements during integrated audit; - Monitor the process of documentation of IT system transaction flow, create and complete tests of IT system controls (upon necessity) to determine whether these controls are in place and functioning properly."
